" Semantic
 tag",Command word,Function type,Broadcast statement,"Broadcast 
mode",Sending protocol,Receiving protocol
1,GREETING,Greeting message,Welcome,Passive,AA 55 01 00 FB,AA 55 01 00 FB
2,HAVE-A-REST,Rest message,I’m going to take a break,Active,AA 55 02 00 FB,AA 55 02 00 FB
3,HELLO-HI-WONDER,Wake word,I'm here,Active,AA 55 03 00 FB,AA 55 03 00 FB
4,TURN-UP-VOLUME,Increase volume,Volume increase ,Active,AA 55 04 00 FB,AA 55 04 00 FB
5,TURN-DOWN-VOLUME,Decrease volume,Volume decrease ,Active,AA 55 05 00 FB,AA 55 05 00 FB
6,MAXIMUM-VOLUME,Maximum volume,Maximum volume,Active,AA 55 06 00 FB,AA 55 06 00 FB
7,MEDIUM-VOLUME,Medium volume,Medium volume,Active,AA 55 07 00 FB,AA 55 07 00 FB
8,MINIMUM-VOLUME,Minimum volume,Minimum volume,Active,AA 55 08 00 FB,AA 55 08 00 FB
9,START-BROADCASTING,Start broadcasting,Start Broadcasting,Active,AA 55 09 00 FB,AA 55 09 00 FB
10,STOP-BROADCASTING,Stop broadcasting,Stop broadcasting,Active,AA 55 0A 00 FB,AA 55 0A 00 FB
,,,,,,
,,,,,,
11,GO-STRAIGHT,Command word,Going straight,Active,AA 55 00 01 FB,AA 55 00 01 FB
12,GO-BACKWARD,Command word,Going backward,Active,AA 55 00 02 FB,AA 55 00 02 FB
13,TURN-LEFT,Command word,Turning left,Active,AA 55 00 03 FB,AA 55 00 03 FB
14,TURN-RIGHT,Command word,Turning right,Active,AA 55 00 04 FB,AA 55 00 04 FB
15,LEAN-FORWARD,Command word,Lean forward,Active,AA 55 00 05 FB,AA 55 00 05 FB
16,LEAN-BACK,Command word,Lean back,Active,AA 55 00 06 FB,AA 55 00 06 FB
17,LEAN-LEFT,Command word,Lean left,Active,AA 55 00 07 FB,AA 55 00 07 FB
18,LEAN-RIGHT,Command word,Lean right,Active,AA 55 00 08 FB,AA 55 00 08 FB
19,STOP,Command word,Copy that ,Active,AA 55 00 09 FB,AA 55 00 09 FB
20,ATTENTION,Command word,Copy that ,Active,AA 55 00 0A FB,AA 55 00 0A FB
21,GET-DOWN,Command word,Copy that ,Active,AA 55 00 0B FB,AA 55 00 0B FB
22,SIT-DOWN,Command word,Copy that,Active,AA 55 00 0C FB,AA 55 00 0C FB
23,SPEED-UP,Command word,Copy that,Active,AA 55 00 0D FB,AA 55 00 0D FB
24,SLOW-DOWN,Command word,Copy that,Active,AA 55 00 0E FB,AA 55 00 0E FB
25,RAISE-THE-BODY,Command word,Copy that,Active,AA 55 00 0F FB,AA 55 00 0F FB
26,LOWER-THE-BODY,Command word,Copy that,Active,AA 55 00 10 FB,AA 55 00 10 FB
27,MAKE-A-SOUND,Command word,Copy that,Active,AA 55 00 11 FB,AA 55 00 11 FB
28,TURN-ON-THE-LIGHT,Command word,Turn on the light,Active,AA 55 00 12 FB,AA 55 00 12 FB
29,TURN-OFF-THE-LIGHT,Command word,Turn off the light,Active,AA 55 00 13 FB,AA 55 00 13 FB
30,OPEN-THE-DOOR,Command word,The door is open,Active,AA 55 00 14 FB,AA 55 00 14 FB
31,CLOSE-THE-DOOR,Command word,The door is closed ,Active,AA 55 00 15 FB,AA 55 00 15 FB
32,TURN-ON-THE-WATER-PUMP,Command word,Turn on the water pump,Active,AA 55 00 16 FB,AA 55 00 16 FB
33,TURN-OFF-THE-WATER-PUMP,Command word,Turn off the water pump,Active,AA 55 00 17 FB,AA 55 00 17 FB
34,UNFOLD-THE-AIRING-RACK,Command word,Copy that,Active,AA 55 00 18 FB,AA 55 00 18 FB
35,FOLD-THE-ARING-RACK,Command word,Copy that,Active,AA 55 00 19 FB,AA 55 00 19 FB
36,HELLO,Command word,Hi,Active,AA 55 00 1A FB,AA 55 00 1A FB
37,INTRODUCE-YOURSELF,Command word,"Hello, i'm Hiwonder, and i can talk and dance.",Active,AA 55 00 1B FB,AA 55 00 1B FB
38,SHOW-A-SKIII,Command word,Watch closely,Active,AA 55 00 1C FB,AA 55 00 1C FB
39,MARCH,Command word,Copy that,Active,AA 55 00 1D FB,AA 55 00 1D FB
40,SHAKE-HEAD,Command word,Copy that,Active,AA 55 00 1E FB,AA 55 00 1E FB
41,DIVE-FORWARD,Command word,Copy that,Active,AA 55 00 1F FB,AA 55 00 1F FB
42,DIVE-BACKWARD,Command word,Copy that,Active,AA 55 00 20 FB,AA 55 00 20 FB
43,COMBAT MODE,Command word,Copy that,Active,AA 55 00 21 FB,AA 55 00 21 FB
44,SQUAT-DOWN,Command word,Copy that,Active,AA 55 00 22 FB,AA 55 00 22 FB
