语义标签,命令词,功能类型,播报语句,播报模式,发送协议,接收协议,置信度阈值
1,GREETING,欢迎语,Welcome,被,AA 55 01 00 FB,AA 55 01 00 FB,35
2,HAVE-A-REST,休息语,I’m going to take a break,被,AA 55 02 00 FB,AA 55 02 00 FB,35
3,HELLO-HIWONDER,唤醒词,I'm here,主,AA 55 03 00 FB,AA 55 03 00 FB,35
4,TURN-UP-VOLUME,增大音量,Volume increase,主,AA 55 04 00 FB,AA 55 04 00 FB,35
5,TURN-DOWN-VOLUME,减小音量,Volume decrease,主,AA 55 05 00 FB,AA 55 05 00 FB,35
6,MAXIMUM-VOLUME,最大音量,Maximum volume,主,AA 55 06 00 FB,AA 55 06 00 FB,35
7,MEDIUM-VOLUME,中等音量,Medium volume,主,AA 55 07 00 FB,AA 55 07 00 FB,35
8,MINIMUM-VOLUME,最小音量,Minimum volume,主,AA 55 08 00 FB,AA 55 08 00 FB,35
9,START-BROADCASTING,开播报,Start Broadcasting,主,AA 55 09 00 FB,AA 55 09 00 FB,35
10,STOP-BROADCASTING,关播报,Stop broadcasting,主,AA 55 0A 00 FB,AA 55 0A 00 FB,35
11,GO-STRAIGHT,命令词,Going straight,主,AA 55 00 01 FB,AA 55 00 01 FB,35
12,GO-BACKWARD,命令词,Going backward,主,AA 55 00 02 FB,AA 55 00 02 FB,35
13,TURN-LEFT,命令词,Turning left,主,AA 55 00 03 FB,AA 55 00 03 FB,35
14,TURN-RIGHT,命令词,Turning right,主,AA 55 00 04 FB,AA 55 00 04 FB,35
15,LEAN-FORWARD,命令词,Lean forward,主,AA 55 00 05 FB,AA 55 00 05 FB,35
16,LEAN-BACK,命令词,Lean back,主,AA 55 00 06 FB,AA 55 00 06 FB,35
17,LEAN-LEFT,命令词,Lean left,主,AA 55 00 07 FB,AA 55 00 07 FB,35
18,LEAN-RIGHT,命令词,Lean right,主,AA 55 00 08 FB,AA 55 00 08 FB,35
19,TURN-ON-THE-LIGHT,命令词,Turn on the light,主,AA 55 00 12 FB,AA 55 00 12 FB,35
20,TURN-OFF-THE-LIGHT,命令词,Turn off the light,主,AA 55 00 13 FB,AA 55 00 13 FB,35
21,OPEN-THE-DOOR,命令词,The door is open,主,AA 55 00 14 FB,AA 55 00 14 FB,35
22,CLOSE-THE-DOOR,命令词,The door is closed,主,AA 55 00 15 FB,AA 55 00 15 FB,35
23,HELLO,命令词,Hi,主,AA 55 00 1A FB,AA 55 00 1A FB,35
24,INTRODUCE-YOURSELF,命令词,"Hello, i'm Hiwonder, and i can talk and dance.",主,AA 55 00 1B FB,AA 55 00 1B FB,35
25,SHOW-A-SKIII,命令词,Watch closely,主,AA 55 00 1C FB,AA 55 00 1C FB,35
26,MARCH,命令词,Copy that,主,AA 55 00 1D FB,AA 55 00 1D FB,35
27,SHAKE-HEAD,命令词,Copy that,主,AA 55 00 1E FB,AA 55 00 1E FB,35
28,SHOW-SMILEY-FACE,命令词,Copy that,主,AA 55 00 2A FB,AA 55 00 2A FB,35
29,SHOW-CRYING-FACE,命令词,Copy that,主,AA 55 00 2B FB,AA 55 00 2B FB,35
30,DANCE,命令词,Copy that,主,AA 55 00 6C FB,AA 55 00 6C FB,35
31,PUSH-UP,命令词,Copy that,主,AA 55 00 6D FB,AA 55 00 6D FB,35
32,LEFT-FOOT-SHOOT,命令词,Copy that,主,AA 55 00 6E FB,AA 55 00 6E FB,35
33,RIGHT-FOOT-SHOOT,命令词,Copy that,主,AA 55 00 6F FB,AA 55 00 6F FB,35
34,TWIST,命令词,Copy that,主,AA 55 00 71 FB,AA 55 00 71 FB,35
35,SIT-UP,命令词,Copy that,主,AA 55 00 72 FB,AA 55 00 72 FB,35
36,BOW,命令词,Copy that,主,AA 55 00 73 FB,AA 55 00 73 FB,42
37,SPREAD-THE-HANDS,命令词,Copy that,主,AA 55 00 74 FB,AA 55 00 74 FB,35
38,WAVE-HAND,命令词,Copy that,主,AA 55 00 75 FB,AA 55 00 75 FB,35
39,MARCH-IN-PLACE,命令词,Copy that,主,AA 55 00 76 FB,AA 55 00 76 FB,35
40,FALL-AND-STAND-UP,命令词,Copy that,主,AA 55 00 77 FB,AA 55 00 77 FB,35
41,LEFT-HOOK,命令词,Copy that,主,AA 55 00 79 FB,AA 55 00 79 FB,35
42,RIGHT-HOOK,命令词,Copy that,主,AA 55 00 7A FB,AA 55 00 7A FB,35
